Crime Rate,Large,Industrial,Air Pol,TractID
0.00632,18.0,2.31,0.5379999999999999,61993
0.02731,0.0,7.07,0.469,52351
0.02729,0.0,7.07,0.469,93604
0.032369999999999996,0.0,2.18,0.45799999999999996,68914
0.06905,0.0,2.18,0.45799999999999996,48213
0.02985,0.0,2.18,0.45799999999999996,90135
0.08829,12.5,7.87,0.524,75947
0.14455,12.5,7.87,0.524,45837
0.21124,12.5,7.87,0.524,85088
0.17004,12.5,7.87,0.524,82533
0.22489,12.5,7.87,0.524,45411
0.11747,12.5,7.87,0.524,78866
0.09378,12.5,7.87,0.524,88146
0.62976,0.0,8.14,0.5379999999999999,46970
0.6379600000000001,0.0,8.14,0.5379999999999999,71963
0.62739,0.0,8.14,0.5379999999999999,92341
0.7842,0.0,8.14,0.5379999999999999,50391
0.80271,0.0,8.14,0.5379999999999999,64930
0.7258,0.0,8.14,0.5379999999999999,94782
1.25179,0.0,8.14,0.5379999999999999,55400
0.8520399999999999,0.0,8.14,0.5379999999999999,58329
1.2324700000000002,0.0,8.14,0.5379999999999999,95276
0.9884299999999999,0.0,8.14,0.5379999999999999,61599
0.84054,0.0,8.14,0.5379999999999999,52684
0.67191,0.0,8.14,0.5379999999999999,93784
0.9557700000000001,0.0,8.14,0.5379999999999999,68494
1.00245,0.0,8.14,0.5379999999999999,48445
1.13081,0.0,8.14,0.5379999999999999,90424
1.3547200000000001,0.0,8.14,0.5379999999999999,75537
1.15172,0.0,8.14,0.5379999999999999,45952
1.6128200000000001,0.0,8.14,0.5379999999999999,85465
0.06417,0.0,5.96,0.499,82167
0.17505,0.0,5.96,0.499,45401
0.027630000000000002,75.0,2.95,0.428,79302
0.033589999999999995,75.0,2.95,0.428,87855
0.12744,0.0,6.91,0.44799999999999995,46838
0.1415,0.0,6.91,0.44799999999999995,72426
0.15936,0.0,6.91,0.44799999999999995,92149
0.12269000000000001,0.0,6.91,0.44799999999999995,50149
0.17142000000000002,0.0,6.91,0.44799999999999995,65385
0.18836,0.0,6.91,0.44799999999999995,94707
0.22926999999999997,0.0,6.91,0.44799999999999995,55069
0.25387,0.0,6.91,0.44799999999999995,58741
0.21977,0.0,6.91,0.44799999999999995,95326
0.04337,21.0,5.64,0.439,61208
0.0536,21.0,5.64,0.439,53022
0.04981,21.0,5.64,0.439,93956
0.0136,75.0,4.0,0.41,68075
0.01311,90.0,1.22,0.40299999999999997,48684
0.02055,85.0,0.74,0.41,90707
0.01432,100.0,1.32,0.41100000000000003,75126
0.15445,25.0,5.13,0.45299999999999996,46074
0.10328,25.0,5.13,0.45299999999999996,85837
0.17171,25.0,5.13,0.45299999999999996,81797
0.11027,25.0,5.13,0.45299999999999996,45399
0.1265,25.0,5.13,0.45299999999999996,79736
0.043789999999999996,80.0,3.37,0.39799999999999996,87558
0.05789,12.5,6.07,0.409,46714
0.13554000000000002,12.5,6.07,0.409,72889
0.12816,12.5,6.07,0.409,91951
0.08826,0.0,10.81,0.413,49914
0.15875999999999998,0.0,10.81,0.413,65842
0.09164,0.0,10.81,0.413,94625
0.19539,0.0,10.81,0.413,54744
0.07896,0.0,12.83,0.43700000000000006,59156
0.09512000000000001,0.0,12.83,0.43700000000000006,95368
0.10153,0.0,12.83,0.43700000000000006,60819
0.08707000000000001,0.0,12.83,0.43700000000000006,53365
0.05646,0.0,12.83,0.43700000000000006,94121
0.08387,0.0,12.83,0.43700000000000006,67657
0.04462,25.0,4.86,0.426,48930
0.03551,25.0,4.86,0.426,90983
0.050589999999999996,0.0,4.49,0.449,74712
0.051879999999999996,0.0,4.49,0.449,46204
0.07151,0.0,4.49,0.449,86205
0.0566,0.0,3.41,0.489,81424
0.04684,0.0,3.41,0.489,45405
0.03932,0.0,3.41,0.489,80167
0.04203,28.0,15.04,0.46399999999999997,87256
0.02875,28.0,15.04,0.46399999999999997,46597
0.04294,28.0,15.04,0.46399999999999997,73351
0.12204000000000001,0.0,2.89,0.445,91746
0.11504,0.0,2.89,0.445,49685
0.12082999999999999,0.0,2.89,0.445,66300
0.08187,0.0,2.89,0.445,94535
0.0686,0.0,2.89,0.445,54423
0.14866,0.0,8.56,0.52,59575
0.11432,0.0,8.56,0.52,95402
0.21161,0.0,8.56,0.52,60434
0.1396,0.0,8.56,0.52,53714
0.13262000000000002,0.0,8.56,0.52,94278
0.1712,0.0,8.56,0.52,67240
0.12802,0.0,8.56,0.52,49182
0.26363000000000003,0.0,8.56,0.52,91252
0.10793,0.0,8.56,0.52,74298
0.10084,0.0,10.01,0.547,46342
0.12329000000000001,0.0,10.01,0.547,86567
0.22211999999999998,0.0,10.01,0.547,81047
0.14231,0.0,10.01,0.547,45419
0.17134000000000002,0.0,10.01,0.547,80595
0.13158,0.0,10.01,0.547,86949
0.15098,0.0,10.01,0.547,46487
0.14476,0.0,10.01,0.547,73812
0.07165,0.0,25.65,0.581,91534
0.09299,0.0,25.65,0.581,49462
0.15037999999999999,0.0,25.65,0.581,66759
0.09849,0.0,25.65,0.581,94438
0.16902,0.0,25.65,0.581,54107
0.38735,0.0,25.65,0.581,59998
0.25915,0.0,21.89,0.624,95428
0.32543,0.0,21.89,0.624,60052
0.88125,0.0,21.89,0.624,54068
1.19294,0.0,21.89,0.624,94428
0.59005,0.0,21.89,0.624,66823
0.32982,0.0,21.89,0.624,49441
0.9761700000000001,0.0,21.89,0.624,91516
0.55778,0.0,21.89,0.624,73882
0.32264,0.0,21.89,0.624,46487
0.35233000000000003,0.0,21.89,0.624,86924
0.2498,0.0,21.89,0.624,80666
0.54452,0.0,21.89,0.624,45440
0.2909,0.0,21.89,0.624,81019
1.6286399999999999,0.0,21.89,0.624,86636
3.32105,0.0,19.58,0.871,46385
4.0974,0.0,19.58,0.871,74272
2.7797400000000003,0.0,19.58,0.871,91316
2.37934,0.0,19.58,0.871,49246
2.36862,0.0,19.58,0.871,67219
2.3309900000000003,0.0,19.58,0.871,94333
1.6566,0.0,19.58,0.871,53796
1.49632,0.0,19.58,0.871,60424
1.12658,0.0,19.58,0.871,95447
2.14918,0.0,19.58,0.871,59673
1.41385,0.0,19.58,0.871,54427
2.4466799999999997,0.0,19.58,0.871,94570
1.22358,0.0,19.58,0.605,66408
1.34284,0.0,19.58,0.605,49707
1.4250200000000002,0.0,19.58,0.871,91772
1.27346,0.0,19.58,0.605,73465
1.46336,0.0,19.58,0.605,46640
1.8337700000000001,0.0,19.58,0.605,87276
1.51902,0.0,19.58,0.605,80283
2.2423599999999997,0.0,19.58,0.605,45470
2.924,0.0,19.58,0.605,81441
2.3004,0.0,19.58,0.605,86318
2.4495299999999998,0.0,19.58,0.605,46290
1.2074200000000002,0.0,19.58,0.605,74730
2.3139,0.0,19.58,0.605,91091
0.13914,0.0,4.05,0.51,49037
0.09178,0.0,4.05,0.51,67681
0.06663999999999999,0.0,4.05,0.51,94220
0.05425,0.0,4.05,0.51,53491
0.06642,0.0,4.05,0.51,60853
0.0578,0.0,2.46,0.488,95458
0.06588,0.0,2.46,0.488,59297
0.09103,0.0,2.46,0.488,54791
0.10008,0.0,2.46,0.488,94705
0.08308,0.0,2.46,0.488,65994
0.06047,0.0,2.46,0.488,49979
0.05602000000000001,0.0,2.46,0.488,92022
0.07875,45.0,3.44,0.43700000000000006,73047
0.12579,45.0,3.44,0.43700000000000006,46800
0.09068,45.0,3.44,0.43700000000000006,87623
0.06911,45.0,3.44,0.43700000000000006,79897
0.08664,45.0,3.44,0.43700000000000006,45507
0.02187,60.0,2.93,0.401,81858
0.01439,60.0,2.93,0.401,85996
